,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
411,20兴业银行CD074,97.44,2.7698,-26.03,2.8333,
412,20建设银行双创债,100.09,3.4622,-2.78,3.4608,
413,16北京银行02,100.08,2.8799,1.0,2.8762,
414,19广汇实业MTN002,96.95,9.2367,,9.2222,
415,16彭州工投债,56.81,7.1531,,7.1540,
416,20厦门银行永续债01,94.95,6.0024,120.27,6.0026,
417,20国开20,99.17,3.9600,-1.28,3.9615,
418,16兴业绿色金融债03,100.22,3.1499,-0.01,3.1499,
419,17远洋集团MTN001B,101.56,3.7500,-2.0,3.7517,
420,20中国银行CD060,98.53,3.0002,15.03,2.8902,
421,20进出07,98.49,3.5350,-1.04,3.5268,
422,20贴现国债51,99.37,2.5497,-5.05,2.5499,
423,11国开26,100.59,2.6600,-44.01,2.7100,
424,19江苏债14,100.29,3.3800,1.17,3.3733,
425,15上海债10,100.64,3.3200,,3.3192,
426,20民生银行CD070,97.34,2.6998,-20.03,2.6998,
427,20建安投资PPN001,98.36,5.0025,22.32,5.0006,
428,20华夏银行CD479,97.06,3.0300,-11.97,3.0200,
429,20平安银行CD061,97.34,2.6801,-26.98,2.6801,
430,20农业银行CD071,98.64,2.6502,-35.01,2.7000,
431,17西安高新债01,103.30,4.3511,84.5,4.3497,
432,17巴州国源债,81.31,5.1692,21.6,5.1674,
433,17农业银行二级,101.62,4.1713,-6.91,4.1713,
434,20浦发银行CD030,97.20,2.7001,-22.99,2.7468,
435,20民生银行CD557,97.05,3.0300,-7.0,3.0300,
436,20宁波银行CD194,99.24,2.9799,-0.04,2.9799,
437,14伊财通债,20.14,4.0300,,4.0230,
438,20湖北银行CD077,98.19,3.6999,,3.6999,
439,20湖北银行CD074,98.19,3.7000,,3.7000,
440,20厦门银行CD252,98.24,3.6000,10.0,3.6000,
441,16蕲春债,57.75,7.2275,-521.38,7.2254,
442,20民生银行CD361,98.59,2.7998,-23.01,2.8331,
443,20福建海峡银行CD036,96.98,3.1499,1.0,3.1499,
444,20平安银行CD198,97.10,3.0001,1.0,3.0001,
445,20招金SCP006,99.69,3.4401,-11.99,3.4372,
446,20成都银行CD078,97.84,2.9500,-30.01,2.9500,
447,20沪百联SCP002,99.70,3.1499,-5.02,3.1499,
448,19附息国债10,100.34,3.8400,0.25,3.8400,
449,18辽宁15,100.69,2.8100,-9.71,2.8100,
450,18汇丰银行01,100.55,3.3001,-15.9,3.3001,
451,20盛京银行CD443,99.78,2.3008,-79.93,2.3008,
452,20平安银行CD012,97.17,2.7005,-29.93,2.7005,
453,20华融湘江银行CD016,97.42,3.0702,,3.0702,
454,20平安银行CD036,97.26,2.6998,-31.49,2.7534,
455,20长电(疫情防控债)MTN001,98.62,3.5976,-6.96,3.6000,
456,20浙交投SCP007,99.65,3.0113,2.13,2.9942,
457,20汇金01,99.69,3.7600,1.0,3.7533,
458,20厦门国际银行CD078,97.58,3.0001,-49.58,2.9867,
459,20广东顺德农商行CD173,98.18,3.7501,1.0,3.7501,
460,20广州银行CD078,96.90,3.1800,-7.0,3.1867,
461,20民生银行CD152,97.71,2.9401,-5.99,2.9401,
462,20瓯海农商行CD060,99.19,3.2999,,3.2999,
463,20北京银行CD078,97.06,3.0792,-12.07,3.0786,
464,20江苏银行CD107,97.06,3.0797,-20.04,3.0791,
465,20平安银行CD285,97.84,2.9000,-23.01,2.9000,
466,18工元安居2A2,101.07,,,,
467,20宝武集团MTN001,97.02,3.6700,-0.78,3.6700,
468,20光大银行CD273,97.84,2.8900,-24.01,2.8933,
469,18农发03,103.77,3.1100,-1.0,3.1100,
470,20民生银行CD376,98.59,2.7202,,2.7202,
471,20浦发银行CD464,99.26,2.8498,1.0,2.8498,
472,20东方证券CP006,99.98,3.0505,1.0,3.0505,
473,20中信银行CD289,97.84,2.9100,-24.0,2.9033,
474,20兴业银行CD452,97.07,2.9800,-14.0,2.9800,
475,20中国银行CD011,97.90,2.9500,1.0,2.9500,
476,20农业银行CD142,99.27,2.7697,-16.06,2.7697,
477,20贵阳银行CD035,98.27,1.8510,-19.95,1.8510,
478,19工元宜居1A2,100.31,,,,
479,20中信银行CD325,96.97,3.1197,,3.1197,
480,15天安财险,100.00,,,,
481,20中石油MTN002,96.96,3.7750,-2.63,3.7722,
482,20吴中经发PPN004,100.00,4.4699,,4.4699,
483,20联通SCP004,99.89,3.0000,1.0,2.9846,
484,20江苏银行CD172,97.79,2.9501,-55.19,3.3093,
485,20中誉2优先,99.74,,,,
486,18附息国债27,99.72,3.2900,1.0,3.2900,
487,20眉岷专债,98.63,7.7378,0.43,7.7379,
488,18远洋集团MTN001,100.25,3.3698,3.89,3.3698,
489,19中电投MTN012A,99.98,3.5550,1.5,3.5534,
490,20温州铁投SCP004,99.77,3.8202,0.02,3.8164,
491,19交通银行02,99.96,3.3700,-10.0,3.3714,
492,20东莞农村商业银行CD187,97.64,3.2200,-0.01,3.2160,
493,20中原银行CD108,98.64,2.9000,-33.02,2.9000,
494,19农发01,100.55,3.6700,-1.0,3.7266,
495,15农发05,102.32,3.3650,-1.28,3.3689,
496,20中石油MTN003,96.97,3.7700,-1.13,3.7710,
497,20津南城投PPN002,96.64,6.8433,,6.8434,
498,18湖南03,100.29,2.7200,,2.7200,
499,15交通银行债,100.02,1.7999,-35.06,1.8373,
500,20招商银行(防疫专项)CD033,97.49,2.7898,-16.04,2.7898,
501,18国开06,105.25,3.3900,-0.1,3.3901,
502,20南电MTN002,99.64,3.4800,-12.67,3.4800,
503,20中铁股MTN004,99.09,3.2360,-3.68,3.2357,
504,20宁波银行CD216,99.80,1.4510,-29.89,1.4897,
505,19通用MTN001A,99.99,3.6300,-7.42,3.6442,
506,20平安银行CD090,97.97,2.7501,,2.7808,
