,price,r,r+1
203,2829.92,-0.00012013,0.003508933
204,2839.85,0.003508933,-0.01968766
205,2783.94,-0.01968766,0.004252965
206,2795.78,0.004252965,-0.000375566
207,2794.73,-0.000375566,-0.021197039
208,2735.49,-0.021197039,0.00523855
209,2749.82,0.00523855,0.01079707
210,2779.51,0.01079707,-0.023550914
211,2714.05,-0.023550914,-0.082095024
212,2491.24,-0.082095024,-0.0299088
213,2416.73,-0.0299088,0.021367716
214,2468.37,0.021367716,-0.085825869
215,2256.52,-0.085825869,-0.003336997
216,2248.99,-0.003336997,-0.063419579
217,2106.36,-0.063419579,0.019545567
218,2147.53,0.019545567,-0.040860896
219,2059.78,-0.040860896,0.055942868
220,2175.01,0.055942868,-0.028556191
221,2112.9,-0.028556191,0.029357755
222,2174.93,0.029357755,0.030699839
223,2241.7,0.030699839,-0.016527635
224,2204.65,-0.016527635,-0.041843376
225,2112.4,-0.041843376,0.017605567
226,2149.59,0.017605567,0.004293842
227,2158.82,0.004293842,-0.076324103
228,1994.05,-0.076324103,0.001715102
229,1997.47,0.001715102,-0.045562637
230,1906.46,-0.045562637,0.045954282
231,1994.07,0.045954282,-0.000687037
232,1992.7,-0.000687037,0.041446279
233,2075.29,0.041446279,0.007333915
234,2090.51,0.007333915,0.017282864
235,2126.64,0.017282864,-0.013942181
236,2096.99,-0.013942181,0.009465949
237,2116.84,0.009465949,0.040196708
238,2201.93,0.040196708,0.006090112
239,2215.34,0.006090112,-0.011027653
240,2190.91,-0.011027653,0.00917427
241,2211.01,0.00917427,0.015626343
242,2245.56,0.015626343,-0.012219669
243,2218.12,-0.012219669,-0.006482968
244,2203.74,-0.006482968,-0.075598755
245,2037.14,-0.075598755,-0.010907449
246,2014.92,-0.010907449,-0.06688603
247,1880.15,-0.06688603,0.029130654
248,1934.92,0.029130654,0.042730449
249,2017.6,0.042730449,-0.005214116
250,2007.08,-0.005214116,-0.049843554
251,1907.04,-0.049843554,0.024273219
252,1953.33,0.024273219,0.025013695
253,2002.19,0.025013695,-0.015672838
254,1970.81,-0.015672838,-0.017170605
255,1936.97,-0.017170605,-0.001084168
256,1934.87,-0.001084168,0.045615468
257,2023.13,0.045615468,-0.012955173
258,1996.92,-0.012955173,-0.009704946
259,1977.54,-0.009704946,0.055498245
260,2087.29,0.055498245,0.043395982
261,2177.87,0.043395982,0.022572514
262,2227.03,0.022572514,-0.002393322
263,2221.7,-0.002393322,0.016838457
264,2259.11,0.016838457,-0.017413937
265,2219.77,-0.017413937,-0.001657829
266,2216.09,-0.001657829,-0.007400421
267,2199.69,-0.007400421,-0.021430292
268,2152.55,-0.021430292,0.044705117
269,2248.78,0.044705117,-0.004664752
270,2238.29,-0.004664752,-0.014707656
271,2205.37,-0.014707656,0.033622476
272,2279.52,0.033622476,0.007685829
273,2297.04,0.007685829,-0.021053181
274,2248.68,-0.021053181,-0.008338225
275,2229.93,-0.008338225,0.023861736
276,2283.14,0.023861736,-0.008374432
277,2264.02,-0.008374432,0.013250766
278,2294.02,0.013250766,0.013238769
279,2324.39,0.013238769,-0.006328542
280,2309.68,-0.006328542,-0.019089224
281,2265.59,-0.019089224,0.003058806
282,2272.52,0.003058806,-0.056008308
283,2145.24,-0.056008308,-0.016352483
284,2110.16,-0.016352483,0.012681503
285,2136.92,0.012681503,-0.004721749
286,2126.83,-0.004721749,0.013574193
287,2155.7,0.013574193,-0.004216728
