,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿),剩余期限,是否永续
1422,19达州投资PPN001,102.28,5.7456,,5.7478,,1.4219,否
1423,20大同煤矿SCP011,98.79,7.5,224.99,7.5474,,0.3233,否
1424,20冀国资PPN001,99.02,6.6981,,6.6973,,2.6219,否
1425,19达州投资PPN002,102.50,5.8663,,5.8682,,1.6849,否
1426,20宁波建工MTN001,98.87,7.1202,-7.96,7.12,,2.2575,是
1427,20南电MTN008,95.39,3.84,1.0,3.8393,,4.4685,否
1428,20鲁西化工SCP007,99.91,3.6678,2.82,3.6517,,0.2795,否
1429,16南京国投MTN001,99.84,3.4562,-1.78,3.4562,,0.6685,否
1430,19荆门高新MTN002,101.52,5.3483,0.07,5.3477,,1.737,否
1431,20随州城建MTN001,99.00,5.0481,,5.0481,,4.3096,否
1432,16三明城投MTN001,99.87,3.98,1.0,3.98,,0.2959,否
1433,20灵山CP001,99.71,3.8499,1.0,3.8499,,0.2767,否
1434,18黄山城投MTN001,100.58,4.3,-48.72,4.297,,1.0464,否
1435,19鲁黄金MTN008,99.64,3.7534,7.4,3.75,,1.8438,否
1436,19湘潭建设PPN003,61.50,55.6117,,55.5161,,1.3178,否
1437,20鲁西CP001,99.96,3.5134,10.32,3.4917,,0.112,否
1438,18常城建MTN003,104.95,4.0,1.0,4.0,,2.3068,否
1439,20宁河西SCP001,99.34,3.5601,-12.0,3.5537,,0.3945,否
1440,14川交投MTN001,101.99,3.65,-9.0,3.65,,1.0055,否
1441,18蓉城文化MTN001,100.99,3.8541,,3.8521,,0.7452,否
1442,18新海连MTN001,100.44,6.5658,0.57,6.5658,,2.2603,否
1443,20民生银行CD370,98.53,3.1002,-4.96,3.1002,,0.2158,否
1444,20高淳国资CP001,99.45,4.3856,60.6,4.3828,,0.9288,否
1445,18进出04,100.46,2.8999,-8.0,2.8999,,0.3178,否
1446,18华润置地MTN001,100.48,3.31,-4.0,3.31,,0.2521,否
1447,18中交建MTN001,100.75,7.0418,4.39,7.0426,,0.9753,是
1448,20苏国泰SCP004,99.73,3.9593,,3.9497,,0.2603,否
1449,20桂交投02,100.00,4.2597,,4.2597,,4.9836,否
1450,20北辰科技CP003,99.81,6.82,15.48,6.8153,,0.3096,否
1451,20贴现国债46,99.49,1.6003,-4.94,1.6003,,0.0574,否
1452,20中航租赁SCP014,100.12,3.8079,0.02,3.804,,0.6521,否
1453,20碧水源(疫情防控债)CP001,100.20,5.5174,-12.78,5.5001,,0.2795,否
1454,18川交投MTN001,100.37,3.41,-6.98,3.41,,0.1749,否
1455,20江阴国联PPN001,99.67,4.6995,,4.6995,,2.5123,否
1456,19中核MTN001,100.60,3.6702,-0.11,3.6705,,3.1448,否
1457,18厦门市政MTN001,100.27,3.1067,-19.06,3.1067,,0.1175,否
1458,17仪新区债,79.85,6.84,,6.84,,3.7068,否
1459,16农发10,99.71,3.9746,-1.59,3.9748,,15.2213,否
1460,19湘江投资MTN002,101.75,5.1556,0.56,5.16,,1.4164,否
1461,19苏州国际MTN001,101.52,3.99,24.0,3.99,,3.2849,否
1462,20天业SCP007,99.42,5.1115,,5.0993,,0.4137,否
1463,18华侨城MTN004,101.02,7.4181,,7.4189,,0.9041,是
1464,15苍南国投债,40.39,4.8499,28.0,4.8546,,1.9288,否
1465,19国电MTN003,99.76,3.635,1.0,3.635,,1.8,否
1466,20大丰海港SCP002,99.84,6.3499,10.99,6.3446,,0.4795,否
1467,18温工投MTN001,100.52,4.6201,-17.36,4.629,,0.2712,否
1468,18海淀国资MTN003,98.19,4.7846,50.37,4.7846,,3.0383,否
1469,20川高速SCP006,99.50,3.5401,7.95,3.5333,,0.3671,否
1470,19陕有色MTN002,100.40,7.1302,1.0,7.1302,,1.7014,是
1471,16长江电力MTN002,99.83,3.3462,0.01,3.3431,,0.6521,否
1472,19江东控股MTN001,100.28,4.5018,13.79,4.5,,3.7479,否
1473,20中电信息SCP006,99.99,2.6475,,2.6475,,0.0191,否
1474,14汤山建投债,20.26,4.3004,,4.3179,,0.5616,否
1475,18渝保税MTN002,100.76,5.2873,0.27,5.2884,,2.4548,否
1476,16华夏银行02,100.01,3.112,-9.94,3.112,,0.2466,否
1477,16扬中交投债02,59.36,5.8,-67.35,5.8,,2.3315,否
1478,20大足国资MTN002,99.95,5.9038,6.85,5.9038,,4.7233,否
1479,19港荣投资MTN001,100.42,4.6422,,4.6432,,3.3452,否
1480,20三一MTN003,97.08,4.3172,,4.32,,2.3671,否
1481,20汇金MTN003,98.11,3.6328,0.05,3.6314,,2.263,否
1482,20闽高速MTN001,97.16,4.2611,,4.26,,9.389,否
1483,20光大嘉宝MTN003,99.78,4.5615,6.79,4.5615,,2.9836,否
1484,20华夏幸福MTN001,97.38,6.2049,11.13,6.2042,,4.2904,否
1485,20浦口康居MTN005,99.17,4.4346,-11.55,4.4339,,3.874,否
1486,20启东城投PPN001,98.31,4.6896,-3.07,4.7047,,4.7781,否
1487,16建安债,59.91,4.4085,,4.4001,,2.2493,否
1488,18远洋控股ABN001优先,95.85,,,,,17.3671,否
1489,20平安不动MTN002,98.14,4.55,1.0,4.55,,2.874,否
